model,mean_rank,display,friedman_chi2,p_friedman,n_observations,k_models
unetpp,2.2430555555555554,U-Net++,9.4150485436894,0.02425248783471547,72,4
unet,2.451388888888889,U-Net,9.4150485436894,0.02425248783471547,72,4
hemofusion,2.5833333333333335,HemoFusion-Net (proposed),9.4150485436894,0.02425248783471547,72,4
attention_unet,2.7222222222222223,Attention U-Net,9.4150485436894,0.02425248783471547,72,4
