threshold,n,n_pos,TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,Precision,NPV,F1,BalancedAcc,MCC,Kappa,AUROC,AUPRC,tag,display
0.25,597,72,480,45,29,43,0.8760469011725294,0.5972222213927469,0.9142857141115647,0.4886363630810951,0.9430255400897788,0.5374999996640625,0.7557539682539682,0.469891997951459,0.46675840092699883,0.8024867724867724,0.4623180373770511,unet,U-Net
0.7,597,72,510,15,45,27,0.8994974874371859,0.3749999994791667,0.9714285712435374,0.6428571413265306,0.918918918753348,0.47368421011080336,0.6732142857142858,0.4411522169771449,0.42235123367198846,0.8202380952380953,0.5210151784777028,attention_unet,Attention U-Net
0.475,597,72,500,25,36,36,0.897822445561139,0.4999999993055556,0.9523809521995465,0.5901639334587476,0.932835820721486,0.5413533830516141,0.7261904761904762,0.48641045158123314,0.4843026466714814,0.8261904761904761,0.5660844528066541,unetpp,U-Net++
0.05,597,72,519,6,40,32,0.9229480737018425,0.44444444382716053,0.9885714283831293,0.8421052609418282,0.9284436492077919,0.5818181812892562,0.7165079365079365,0.5776330236935721,0.5438054420412638,0.8900132275132275,0.7223323342749151,hemofusion,HemoFusion-Net (proposed)
