point,ci_low,ci_high,se,tag,display,metric,n
0.2947234158691155,0.21273340006520808,0.3795612868873002,0.04187732556308712,unet,U-Net,Dice,72
0.2357732156985498,0.16468442946443976,0.3116516549352898,0.036754592819989475,unet,U-Net,IoU,72
0.3825812292921349,0.2820339325412145,0.47987373143838485,0.05087771137626473,unet,U-Net,Precision,72
0.2795937076126677,0.1999994907896593,0.361331761304887,0.04054930457662325,unet,U-Net,Recall,72
46.01124754248824,34.25179888614452,57.950111600250736,6.036871822662522,unet,U-Net,HD95,47
21.34021150035805,13.890855121298586,29.483041867050133,3.9943199243224785,unet,U-Net,ASSD,47
0.4623990384147296,0.36948122114938065,0.5541538268143472,0.04662813717845163,unet,U-Net,NSD,47
0.26743340315273945,0.09814663495292184,0.49470191400581676,0.10404437462026285,unet,U-Net,Dice_patient,15
0.2901247584481743,0.20842641231957953,0.3734472511483926,0.041643665510002634,attention_unet,Attention U-Net,Dice,72
0.2311622291661524,0.1607176779430962,0.3043433580567416,0.03604155182041462,attention_unet,Attention U-Net,IoU,72
0.3842216935543842,0.2812428553875007,0.4849843179938961,0.05188256462843066,attention_unet,Attention U-Net,Precision,72
0.2676600011904229,0.19064591963209768,0.3459435837736672,0.03930686217261716,attention_unet,Attention U-Net,Recall,72
44.75926125973183,32.5471659384217,58.07451077244234,6.471883598385982,attention_unet,Attention U-Net,HD95,43
18.61773883422341,11.799292191987256,26.92388241091962,3.843241449824651,attention_unet,Attention U-Net,ASSD,43
0.4829324139249744,0.39326824257979154,0.5717022218668726,0.04575067037340028,attention_unet,Attention U-Net,NSD,43
0.269655815677003,0.09457532762350108,0.499486864795554,0.10574379014182551,attention_unet,Attention U-Net,Dice_patient,15
0.2643583776196008,0.18367937413420649,0.3497044029037515,0.042249417462843296,unetpp,U-Net++,Dice,72
0.21810210965140864,0.14645724942391036,0.29386017335164777,0.03753835411964258,unetpp,U-Net++,IoU,72
0.321210547693997,0.22840438645122346,0.4149263979788935,0.048290230444258224,unetpp,U-Net++,Precision,72
0.2531100724652131,0.17523141230600925,0.33704760049111565,0.04125420435208565,unetpp,U-Net++,Recall,72
40.850523123752005,28.56322454052893,53.94674140400043,6.509682317972263,unetpp,U-Net++,HD95,37
17.205306221395627,9.81310369977879,26.347402563225227,4.2344426678534175,unetpp,U-Net++,ASSD,37
0.5223475383534311,0.419561902792276,0.6221390585696857,0.051553271301905394,unetpp,U-Net++,NSD,37
0.2574089426838633,0.054060233472010145,0.5075324512131658,0.11814677105445011,unetpp,U-Net++,Dice_patient,15
0.2893473918570042,0.2079182991491337,0.372432315203122,0.04178341608838845,hemofusion,HemoFusion-Net (proposed),Dice,72
0.2293072749432776,0.16003937164714158,0.3006984396478324,0.03566631214683193,hemofusion,HemoFusion-Net (proposed),IoU,72
0.3780195118818608,0.2797391878010394,0.4759736760021242,0.05060649150873537,hemofusion,HemoFusion-Net (proposed),Precision,72
0.27132861296598915,0.1922174874605353,0.35276658667885885,0.04141599581980487,hemofusion,HemoFusion-Net (proposed),Recall,72
35.93960324456363,25.0883453247188,47.79453402699602,5.795569383730172,hemofusion,HemoFusion-Net (proposed),HD95,40
12.592717708886404,8.346426264209267,17.42250949624873,2.3271296038328786,hemofusion,HemoFusion-Net (proposed),ASSD,40
0.5417460763149886,0.44534103195797226,0.6359438614268837,0.047892764242054194,hemofusion,HemoFusion-Net (proposed),NSD,40
0.3599878023157385,0.16470952989424545,0.5524609097789046,0.10380258110566755,hemofusion,HemoFusion-Net (proposed),Dice_patient,15
