tag,Dice,Dice__cv_std,Dice_std,Dice_std__cv_std,IoU,IoU__cv_std,IoU_std,IoU_std__cv_std,Precision,Precision__cv_std,Precision_std,Precision_std__cv_std,Recall,Recall__cv_std,Recall_std,Recall_std__cv_std,Specificity,Specificity__cv_std,Specificity_std,Specificity_std__cv_std,VS,VS__cv_std,VS_std,VS_std__cv_std,HD95,HD95__cv_std,HD95_std,HD95_std__cv_std,ASSD,ASSD__cv_std,ASSD_std,ASSD_std__cv_std,NSD,NSD__cv_std,NSD_std,NSD_std__cv_std,Dice_agg,Dice_agg__cv_std,IoU_agg,IoU_agg__cv_std,Precision_agg,Precision_agg__cv_std,Recall_agg,Recall_agg__cv_std,n_slices,n_slices__cv_std,n_pos_slices,n_pos_slices__cv_std,Dice_patient,Dice_patient__cv_std,Dice_patient_std,Dice_patient_std__cv_std,n_patients_scored,n_patients_scored__cv_std,n_lesion_free_patients,n_lesion_free_patients__cv_std,clean_rate,clean_rate__cv_std,mean_fp_px,mean_fp_px__cv_std,median_fp_px,median_fp_px__cv_std,cls_threshold,cls_threshold__cv_std,cls_n,cls_n__cv_std,cls_n_pos,cls_n_pos__cv_std,cls_TN,cls_TN__cv_std,cls_FP,cls_FP__cv_std,cls_FN,cls_FN__cv_std,cls_TP,cls_TP__cv_std,cls_Accuracy,cls_Accuracy__cv_std,cls_Sensitivity,cls_Sensitivity__cv_std,cls_Specificity,cls_Specificity__cv_std,cls_Precision,cls_Precision__cv_std,cls_NPV,cls_NPV__cv_std,cls_F1,cls_F1__cv_std,cls_BalancedAcc,cls_BalancedAcc__cv_std,cls_MCC,cls_MCC__cv_std,cls_Kappa,cls_Kappa__cv_std,cls_AUROC,cls_AUROC__cv_std,cls_AUPRC,cls_AUPRC__cv_std,fold,fold__cv_std,threshold,threshold__cv_std,min_component,min_component__cv_std,val_dice_at_op,val_dice_at_op__cv_std,best_epoch,best_epoch__cv_std,epochs_run,epochs_run__cv_std,train_minutes,train_minutes__cv_std,pretrained_encoder,pretrained_encoder__cv_std,freeze_epochs,freeze_epochs__cv_std,ssl_tensors,ssl_tensors__cv_std,params_M,params_M__cv_std,trainable_M,trainable_M__cv_std,display
attention_unet,0.2901247584481743,,0.3501521949189309,,0.2311622291661524,,0.30329833951462964,,0.3842216935543842,,0.4360133140206883,,0.2676600011904229,,0.3311570617200042,,0.9990203193362548,,0.0018134522191390386,,0.42414771802502577,,0.3974262576366586,,44.75926125973183,,42.25692376200768,,18.617738834223417,,25.217555120101757,,0.48293241392497427,,0.29760255915679956,,0.6271097292218706,,0.4567806638082125,,0.6981070544452378,,0.5692201701791612,,597.0,,72.0,,0.269655815677003,,0.27557621177450514,,7.0,,8.0,,0.125,,410.375,,311.5,,0.7,,597.0,,72.0,,510.0,,15.0,,45.0,,27.0,,0.8994974874371859,,0.3749999994791667,,0.9714285712435374,,0.6428571413265306,,0.918918918753348,,0.47368421011080336,,0.6732142857142858,,0.4411522169771449,,0.42235123367198846,,0.8202380952380953,,0.5210151784777028,,0.0,,0.5250000000000001,,36.0,,0.495527032282556,,-1.0,,0.0,,0.2664396047592163,,0.0,,0.0,,0.0,,8.115608,,8.115608,,Attention U-Net
hemofusion,0.2893473918570042,,0.3485135878393272,,0.2293072749432776,,0.29837801649626505,,0.3780195118818608,,0.42042247715379144,,0.27132861296598915,,0.3469459834648637,,0.9993957156146744,,0.001112160263312984,,0.3932535065103552,,0.398890264615172,,35.93960324456363,,35.88560432234252,,12.592717708886404,,14.472121818620714,,0.5417460763149886,,0.3006913461442397,,0.6480619454357059,,0.4793577214930642,,0.8599328349241195,,0.519955037709679,,597.0,,72.0,,0.3599878023157385,,0.27045847144603535,,7.0,,8.0,,1.0,,0.0,,0.0,,0.05,,597.0,,72.0,,519.0,,6.0,,40.0,,32.0,,0.9229480737018425,,0.44444444382716053,,0.9885714283831293,,0.8421052609418282,,0.9284436492077919,,0.5818181812892562,,0.7165079365079365,,0.5776330236935721,,0.5438054420412638,,0.8900132275132275,,0.7223323342749151,,0.0,,0.45000000000000007,,0.0,,0.5802121051644027,,15.0,,30.0,,30.63199614683787,,1.0,,3.0,,216.0,,43.78575,,43.78575,,HemoFusion-Net (proposed)
unet,0.2947234158691155,,0.3514038671755217,,0.2357732156985498,,0.30862856850684073,,0.3825812292921349,,0.42529950277194406,,0.2795937076126677,,0.34084401184331564,,0.9988953954442551,,0.0019197080183486045,,0.46253757733605155,,0.38806025192856725,,46.01124754248824,,41.37988796272616,,21.34021150035805,,27.496364077798287,,0.4623990384147296,,0.3175071444611779,,0.6223896858539635,,0.4517893626832891,,0.6714945424004037,,0.5799772771217124,,597.0,,72.0,,0.26743340315273945,,0.2713901326803482,,7.0,,8.0,,0.0,,394.25,,191.5,,0.25,,597.0,,72.0,,480.0,,45.0,,29.0,,43.0,,0.8760469011725294,,0.5972222213927469,,0.9142857141115647,,0.4886363630810951,,0.9430255400897788,,0.5374999996640625,,0.7557539682539682,,0.469891997951459,,0.46675840092699883,,0.8024867724867724,,0.4623180373770511,,0.0,,0.6000000000000001,,36.0,,0.4872922276372891,,-1.0,,0.0,,0.27481375535329183,,0.0,,0.0,,0.0,,8.028328,,8.028328,,U-Net
unetpp,0.2643583776196008,,0.36052277995184334,,0.21810210965140864,,0.319581164652536,,0.321210547693997,,0.41231346852183276,,0.2531100724652131,,0.35124114369787346,,0.9991651392489894,,0.001504729153005409,,0.38151361769287867,,0.41422009842102253,,40.850523123752,,39.72923297365859,,17.205306221395624,,25.768960292206238,,0.5223475383534311,,0.3122457843380052,,0.6767682338338089,,0.5114510179835045,,0.7875938643206668,,0.5932846644742394,,597.0,,72.0,,0.2574089426838633,,0.3080934770280946,,7.0,,8.0,,0.5,,84.125,,50.5,,0.475,,597.0,,72.0,,500.0,,25.0,,36.0,,36.0,,0.897822445561139,,0.4999999993055556,,0.9523809521995465,,0.5901639334587476,,0.932835820721486,,0.5413533830516141,,0.7261904761904762,,0.48641045158123314,,0.4843026466714814,,0.8261904761904761,,0.5660844528066541,,0.0,,0.7750000000000001,,36.0,,0.5407497511881668,,-1.0,,0.0,,0.8252833366394043,,0.0,,0.0,,0.0,,9.424968,,9.424968,,U-Net++
