threshold,n,n_pos,TN,FP,FN,TP,Accuracy,Sensitivity,Specificity,Precision,NPV,F1,BalancedAcc,MCC,Kappa,AUROC,AUPRC,class,tag,display
0.5,597.0,10.0,587.0,0.0,10.0,0.0,0.983249581239531,0.0,0.9999999998296423,0.0,0.9832495810748326,0.0,0.5,0.0,0.0,0.9303236797274276,0.12005070853181318,Intraventricular,unet,U-Net
0.5,597.0,18.0,579.0,0.0,18.0,0.0,0.9698492462311558,0.0,0.9999999998272885,0.0,0.969849246068702,0.0,0.5,0.0,0.0,0.888888888888889,0.24452498627857516,Intraparenchymal,unet,U-Net
0.5,597.0,9.0,588.0,0.0,9.0,0.0,0.9849246231155779,0.0,0.999999999829932,0.0,0.9849246229505989,0.0,0.5,0.0,0.0,0.7035147392290251,0.06104472077572241,Subarachnoid,unet,U-Net
0.5,597.0,34.0,517.0,46.0,26.0,8.0,0.8793969849246231,0.23529411695501729,0.9182948488599832,0.14814814787379973,0.9521178635447297,0.18181818161157026,0.5767944833350747,0.12409574188898313,0.12033398821218066,0.7122557726465364,0.19775692907549536,Epidural,unet,U-Net
0.5,597.0,8.0,589.0,0.0,8.0,0.0,0.9865996649916248,0.0,0.9999999998302208,0.0,0.9865996648263653,0.0,0.5,0.0,0.0,0.8887945670628183,0.06103754475391588,Subdural,unet,U-Net
0.5,597.0,25.0,568.0,4.0,20.0,5.0,0.9597989949748744,0.1999999992,0.9930069928333904,0.5555555493827161,0.9659863943935398,0.2941176461937716,0.5965034965034965,0.317271561156033,0.27811366384522374,0.8404195804195804,0.2661851847642419,Fracture,unet,U-Net
0.5,597.0,17.333333333333332,571.3333333333334,8.333333333333334,15.166666666666666,2.1666666666666665,0.9606365159128978,0.07254901935916955,0.985216973501743,0.11728394954275263,0.9737878954764615,0.07932263796755698,0.5288829966397618,0.07356121717416936,0.0664079420095674,0.8273662046623795,0.15843334569662731,macro-average,unet,U-Net
0.5,597.0,10.0,587.0,0.0,10.0,0.0,0.983249581239531,0.0,0.9999999998296423,0.0,0.9832495810748326,0.0,0.5,0.0,0.0,0.9235093696763202,0.17069224584513176,Intraventricular,attention_unet,Attention U-Net
0.5,597.0,18.0,579.0,0.0,18.0,0.0,0.9698492462311558,0.0,0.9999999998272885,0.0,0.969849246068702,0.0,0.5,0.0,0.0,0.8766071771253118,0.2442384723591693,Intraparenchymal,attention_unet,Attention U-Net
0.5,597.0,9.0,588.0,0.0,9.0,0.0,0.9849246231155779,0.0,0.999999999829932,0.0,0.9849246229505989,0.0,0.5,0.0,0.0,0.7008692365835223,0.06378575181719885,Subarachnoid,attention_unet,Attention U-Net
0.5,597.0,34.0,504.0,59.0,25.0,9.0,0.8592964824120602,0.26470588157439445,0.8952042627184362,0.13235294098183392,0.9527410206138487,0.17647058806228375,0.5799550726151917,0.11665070860015733,0.10879687222320955,0.7346149827604221,0.23863548809211146,Epidural,attention_unet,Attention U-Net
0.5,597.0,8.0,589.0,0.0,8.0,0.0,0.9865996649916248,0.0,0.9999999998302208,0.0,0.9865996648263653,0.0,0.5,0.0,0.0,0.9132003395585738,0.07769916580614071,Subdural,attention_unet,Attention U-Net
0.5,597.0,25.0,562.0,10.0,20.0,5.0,0.949748743718593,0.1999999992,0.9825174823457138,0.33333333111111113,0.9656357386656984,0.249999999375,0.5912587412587412,0.23359598113438068,0.22568093385214005,0.8505594405594405,0.27498519351615086,Fracture,attention_unet,Attention U-Net
