model,tag,fold,epoch,val_loss,val_dice,val_auroc,lr,frozen,sec,train_seg,train_deep_sup,train_cls,train_multi,train_total,skipped_steps
hemofusion,ab_capacity,0,1,1.3444527530670165,0.017791531899685516,0.868048645660586,5.7499999999999934e-05,1,39.45525908470154,1.0883851223870327,1.076325518520255,0.453805360943079,0.6748677052949604,1.4000570021177594,0
hemofusion,ab_capacity,0,2,1.260729284286499,0.004953336372994226,0.8655610834715313,0.00010499999999999976,1,21.998311042785645,1.060472458600998,0.9979185112997105,0.29235190618783236,0.41545658911529343,1.2354829962316312,0
hemofusion,ab_capacity,0,3,1.1367763805389404,0.33865056555926215,0.8645936981757877,0.00015249999999999948,1,21.151891231536865,0.9997507372969076,0.9167055997409319,0.2416809086540812,0.2539653916304049,1.1139981507470733,1
hemofusion,ab_capacity,0,4,1.078152093887329,0.35876138811649294,0.8739911553344389,5.7499999999999934e-05,0,31.49084711074829,0.9187222978002146,0.8745501143367667,0.1919354038852218,0.20302949600705975,1.0184335143942582,1
hemofusion,ab_capacity,0,5,0.9971535062789917,0.3525356212646123,0.9004422332780542,0.00010499999999999976,0,30.02569031715393,0.9127822949698097,0.7982462291654787,0.20474544939536013,0.17428723977584587,0.9837235192719259,0
hemofusion,ab_capacity,0,6,0.860162479877472,0.358751223756231,0.8880320619126589,0.00015249999999999948,0,29.58870816230774,0.9147570642985796,0.6053566189580842,0.1771808756870757,0.15657406011106154,0.8931840838570344,1
hemofusion,ab_capacity,0,7,0.756925323009491,0.3690014903117437,0.9095632946379215,0.0002,0,28.45868182182312,0.9071403624195802,0.4791872358243716,0.15922726358679173,0.1395832998923173,0.8275667021149083,0
hemofusion,ab_capacity,0,8,0.7143422198295594,0.3971688700411662,0.9099226091763405,0.00019907325163061513,0,28.66558575630188,0.8997471999180945,0.35359298869183187,0.1420840910960626,0.11645582157775368,0.7614103445881292,0
hemofusion,ab_capacity,0,9,0.7121888041496277,0.40920630678644704,0.9114980652294085,0.0001963102700911061,0,29.13916516304016,0.8877008722016686,0.319758647170506,0.15577786362815746,0.11117700859904289,0.7450705601980812,0
hemofusion,ab_capacity,0,10,0.7212633645534515,0.4267701260896953,0.9117744610281924,0.00019176252449979264,0,28.66553544998169,0.8775633063755537,0.27852057371484606,0.08411863467680585,0.08191821333878722,0.6879773312493375,0
hemofusion,ab_capacity,0,11,0.7501593768596649,0.41141903656263995,0.9022664455500276,0.00018551473075237537,0,28.80173945426941,0.870981748558973,0.2547491151153257,0.0715557597723091,0.05896024176801898,0.66490307215013,0
hemofusion,ab_capacity,0,12,0.7648378503322601,0.4093648416654758,0.8784687672747374,0.00017768327342508968,0,29.06988000869751,0.8680222187387315,0.2507899338869672,0.06222019975355483,0.05741249638192944,0.6574999054795817,0
hemofusion,ab_capacity,0,13,0.7624893045425415,0.40936365656563684,0.8933112216694307,0.00016841403775025605,0,28.42143154144287,0.8523296686379533,0.21476271817166553,0.037426880512947194,0.04817181794389494,0.6219080290512035,0
