model,tag,fold,epoch,val_loss,val_dice,val_auroc,lr,frozen,sec,train_seg,train_deep_sup,train_cls,train_multi,train_total,skipped_steps
hemofusion,ab_slim_reg,0,1,1.3329915714263916,0.021585284775058666,0.8570480928689884,5.7499999999999934e-05,1,33.142956495285034,1.0884352530303754,1.084469575630991,0.4949442484465085,0.6019084682982219,1.4052084111853649,0
hemofusion,ab_slim_reg,0,2,1.2512844467163087,0.0723999768515908,0.9062465450525152,0.00010499999999999976,1,19.23285484313965,1.0713582556498678,1.0226572128502947,0.32594433750369045,0.3856248639916119,1.2593805695834912,0
hemofusion,ab_slim_reg,0,3,1.2386236095428467,0.12701050199257005,0.8702045328911,0.00015249999999999948,1,19.59879994392395,1.067608422354648,0.9596284631835786,0.2597690410912037,0.25482303933485556,1.179288691595981,0
hemofusion,ab_slim_reg,0,4,1.2216648530960084,0.14784012121000326,0.8885295743504698,5.7499999999999934e-05,0,28.23204231262207,1.0581938593011153,0.887452673755194,0.18818411927082038,0.20428657683690912,1.1060283780097961,1
hemofusion,ab_slim_reg,0,5,1.1993118143081665,0.11282959464770245,0.9243781094527364,0.00010499999999999976,0,26.446046352386475,1.0567455840738196,0.8744540512561798,0.17953724656744222,0.18475424870848656,1.092594749833408,1
hemofusion,ab_slim_reg,0,6,1.181020474433899,0.04341172079132655,0.9223880597014925,0.00015249999999999948,0,27.01658034324646,1.0301262497117645,0.8388577711425329,0.19925239973848588,0.1603552448122125,1.06539089624819,0
hemofusion,ab_slim_reg,0,7,1.0049759650230408,0.0018836385602731588,0.9135986733001659,0.0002,0,26.606764793395996,0.9662741501080362,0.6769233626362524,0.16216143658752308,0.14062308502922716,0.9435230591579488,0
hemofusion,ab_slim_reg,0,8,0.8665699601173401,0.0019090201436155337,0.9208955223880596,0.00019907325163061513,0,26.3591890335083,0.9304623050909293,0.48450340467848274,0.15513732141545533,0.11988097446431455,0.8381098955869675,0
hemofusion,ab_slim_reg,0,9,0.7781540954113007,0.007328422316644691,0.9036760641238254,0.0001963102700911061,0,26.604753017425537,0.8924795157815281,0.37589560919686366,0.11855931414328025,0.09518228341384154,0.7523061629188689,0
hemofusion,ab_slim_reg,0,10,0.7107296359539031,0.4633279483020523,0.9237423991155336,0.00019176252449979264,0,26.291717052459717,0.8670635658659434,0.3071440971015315,0.1124393470174829,0.09520145976229717,0.707111831950514,0
hemofusion,ab_slim_reg,0,11,0.7438700485229492,0.4634877089107191,0.9097291321171919,0.00018551473075237537,0,26.011590003967285,0.854308087966944,0.2773285500803276,0.07097242050497841,0.07196266889743703,0.6662978027996264,1
hemofusion,ab_slim_reg,0,12,0.7751411020755767,0.47921131590056004,0.9043117744610282,0.00017768327342508968,0,25.487629652023315,0.8375807310405531,0.27249218660749885,0.06709606272526894,0.06945907162183798,0.6522755724819083,0
hemofusion,ab_slim_reg,0,13,0.9307624697685242,0.49830306847031836,0.9005527915975677,0.00016841403775025605,0,26.33009362220764,0.7560963309124896,0.26242320543449177,0.06329969408015083,0.06046580019603042,0.5960401377003444,3
hemofusion,ab_slim_reg,0,14,0.9056370544433594,0.499929706170041,0.910668877833057,0.00015787969205042926,0,29.681775093078613,0.6621701187993351,0.2396078597950308,0.03711898470646702,0.04889437261552207,0.5177717014755073,0
hemofusion,ab_slim_reg,0,15,0.8675318384170532,0.49765658286998415,0.9144002211166391,0.00014627647125424971,0,27.1632137298584,0.6427252451448064,0.2545679805702285,0.04152675954614288,0.048915252015974964,0.5138561092317104,0
hemofusion,ab_slim_reg,0,16,0.8764334702491761,0.4851291184310414,0.9095080154781647,0.00013382052141101307,0,26.503243684768677,0.6174521301137773,0.23301828593799942,0.02834967401002742,0.04424236048515396,0.48386695177147265,0
hemofusion,ab_slim_reg,0,17,0.834470534324646,0.4762691175397563,0.9251243781094527,0.00012074387329873704,0,26.71153163909912,0.5961724696190733,0.2346669889888481,0.0246085818574724,0.03729701750776976,0.4688731306477597,0
hemofusion,ab_slim_reg,0,18,0.8298240053653717,0.4681480412651751,0.9234383637368713,0.00010729012012978475,0,26.422434329986572,0.574574283275165,0.2249128754789892,0.020756969605970784,0.03675005069051526,0.450362534115189,0
hemofusion,ab_slim_reg,0,19,0.8105078136920929,0.4965101860035553,0.9233554449972361,9.370987987021527e-05,0,27.943337440490723,0.5679186170822695,0.21768064551839703,0.028318774365049506,0.035657717123333564,0.4462824981463583,0
hemofusion,ab_slim_reg,0,20,0.9093741798400878,0.4962100992829571,0.9325041459369818,8.025612670126298e-05,0,26.135614156723022,0.5533798235027414,0.22460540658549258,0.00854586395938608,0.028642571859037208,0.4310169333690091,0
hemofusion,ab_slim_reg,0,21,0.8433724796772003,0.47874220186621924,0.9294085129906027,6.717947858898688e-05,0,25.374398231506348,0.5441188282872501,0.20793555478418344,0.008633435926975309,0.024057889793766662,0.41791048704793576,0
hemofusion,ab_slim_reg,0,22,0.8195867753028869,0.46345654637686573,0.9257048092868989,5.4723528745750374e-05,0,27.46387791633606,0.5359484200414858,0.2048287171576368,0.015375556378593933,0.027397563149478582,0.41513028623242126,0
hemofusion,ab_slim_reg,0,23,0.8240279483795167,0.4571175950469455,0.9233001658374793,4.312030794957069e-05,0,29.381314754486084,0.5159373965702558,0.21523978139616942,0.012021424199989078,0.02183717693428901,0.4048343736090158,0
hemofusion,ab_slim_reg,0,24,0.8238420689105987,0.45439013519367705,0.9240740740740742,3.258596224974391e-05,0,29.065133810043335,0.5224086048179551,0.1949145747838836,0.002578502980357275,0.020743998262332752,0.3965912061302285,0
hemofusion,ab_slim_reg,0,25,0.8252526676654816,0.4502680166749171,0.9208955223880597,2.3316726574910207e-05,0,26.420993328094482,0.52465051824325,0.19513671212878667,0.009608011851205925,0.017657019276061635,0.4002196190780715,0
hemofusion,ab_slim_reg,0,26,0.8291331863403321,0.4463532135771507,0.9199281370923161,1.548526924762437e-05,0,24.341587781906128,0.5140389213828664,0.19249574139126038,0.008618725896475984,0.015105659592480055,0.3918902868110883,0
hemofusion,ab_slim_reg,0,27,0.8268884968757629,0.4474538332383978,0.9204256495301271,9.237475500207391e-06,0,24.403666019439697,0.5240559881847155,0.18755400288654,0.017366740252806556,0.018155380283899018,0.4000329814459148,0
hemofusion,ab_slim_reg,0,28,0.8304071378707886,0.4499163102084809,0.9195411829740189,4.689729908893972e-06,0,24.690938234329224,0.522358277910634,0.1918208881918537,0.006327295335770606,0.018079893139656633,0.3962902338489106,0
hemofusion,ab_slim_reg,0,29,0.8283394622802734,0.45167755344250415,0.918048645660586,1.9267483693850973e-06,0,24.564194440841675,0.5216712875193671,0.18418263139105157,0.009705963413819662,0.0168476173972809,0.3939277443446611,0
hemofusion,ab_slim_reg,0,30,0.8305347728729248,0.45121543885525617,0.9175234936428966,1e-06,0,24.658506155014038,0.5130441149598673,0.19704214954062513,0.005888071971974951,0.014930234650627858,0.3919846180238222,0
