model,tag,fold,epoch,val_loss,val_dice,val_auroc,lr,frozen,sec,train_seg,train_deep_sup,train_cls,train_multi,train_total,skipped_steps
hemofusion,ab_slim_reg_pos70,0,1,1.3028852605819703,0.011565403889466041,0.8744886677722499,5.7499999999999934e-05,1,19.169477701187134,1.0836346910188073,1.0803006942334927,0.3424890193794119,0.6013959407022125,1.3395759149601585,0
hemofusion,ab_slim_reg_pos70,0,2,1.2356081485748291,0.06926602950725833,0.8780541735765617,0.00010499999999999976,1,18.28371548652649,1.0610881047813516,1.0022305026650429,0.2096579595910091,0.3920189986299527,1.1998120844364166,0
hemofusion,ab_slim_reg_pos70,0,3,1.2057318115234374,0.24186668364385008,0.8766998341625208,0.00015249999999999948,1,17.9939022064209,1.0338988853128332,0.907397339610677,0.19532487161555573,0.25975132459088374,1.1133785138004704,0
hemofusion,ab_slim_reg_pos70,0,4,1.0944957327842713,0.33811100807964467,0.8534825870646765,5.7499999999999934e-05,0,25.099482774734497,0.9693406714420569,0.8374126573142252,0.13796500143546023,0.20491435403298391,1.0127383650917756,1
hemofusion,ab_slim_reg_pos70,0,5,1.0928259301185608,0.37381552116956396,0.8853510226644555,0.00010499999999999976,0,26.389493227005005,0.9476513670463311,0.8172470146888181,0.1437368668726106,0.16882861430119528,0.986750123140059,0
hemofusion,ab_slim_reg_pos70,0,6,1.0361499691009521,0.38708322079053126,0.8714483139856274,0.00015249999999999948,0,24.447207927703857,0.9357261626343978,0.7846940371551012,0.13472411379610238,0.15239753086413993,0.9596824951862034,0
hemofusion,ab_slim_reg_pos70,0,7,1.0025063800811767,0.38793017123272494,0.8962133775566611,0.0002,0,24.520726680755615,0.9120030634497341,0.7296939531439229,0.1146334425399178,0.12464279799084914,0.9098613854301604,0
hemofusion,ab_slim_reg_pos70,0,8,0.8297957658767701,0.40818607249979677,0.9102266445550027,0.00019907325163061513,0,24.52232313156128,0.9034352839777344,0.5439255815979681,0.08987736164004002,0.1007586416273721,0.8157341052827082,1
hemofusion,ab_slim_reg_pos70,0,9,0.7260463392734527,0.41862629299395604,0.9033443891652847,0.0001963102700911061,0,24.50649333000183,0.8934618030723772,0.4378749849764924,0.08215716350088387,0.09227205496771555,0.7625443778539959,0
hemofusion,ab_slim_reg_pos70,0,10,0.6706707692146301,0.43000352982552065,0.9192095080154781,0.00019176252449979264,0,24.494401454925537,0.8893135989967146,0.345896360709479,0.06741938803277567,0.07236800495976288,0.7133880857574312,0
hemofusion,ab_slim_reg_pos70,0,11,0.6708704078197479,0.4275517228869613,0.9174129353233831,0.00018551473075237537,0,24.605406284332275,0.8806584704863397,0.31792591149477584,0.04758049603429084,0.05797778383681649,0.6861932281600801,0
hemofusion,ab_slim_reg_pos70,0,12,0.6780331540107727,0.41254878856906785,0.9214759535655059,0.00017768327342508968,0,24.56363034248352,0.8667239868327191,0.303903437562679,0.04238252124885453,0.05030096659902483,0.6686089925075832,0
hemofusion,ab_slim_reg_pos70,0,13,0.6884908711910248,0.4509541224591702,0.9264234383637369,0.00016841403775025605,0,24.539894342422485,0.8553294802182599,0.29693922312243987,0.023962970347814628,0.038844390288240424,0.6493274710680309,0
hemofusion,ab_slim_reg_pos70,0,14,0.6954695379734039,0.4617162669731952,0.924212271973466,0.00015787969205042926,0,24.783663749694824,0.8465469730527777,0.2835873512453155,0.0222567082352103,0.030340891340624933,0.6363340051550614,0
hemofusion,ab_slim_reg_pos70,0,15,0.6936572432518006,0.4557053791487034,0.932089552238806,0.00014627647125424971,0,24.50349521636963,0.8329762122348735,0.2747622156809819,0.021242890919414715,0.025471370541613157,0.6232820733597404,0
hemofusion,ab_slim_reg_pos70,0,16,0.6970471012592315,0.4530127441407523,0.9360696517412935,0.00013382052141101307,0,24.607704877853394,0.8232882175790636,0.28009900136997823,0.020835559237112694,0.02500798722796485,0.6193483722837347,0
hemofusion,ab_slim_reg_pos70,0,17,0.6980340433120727,0.4541645597036258,0.9392482034273079,0.00012074387329873704,0,24.413424015045166,0.8058143909040251,0.27134418360104684,0.018545432839394044,0.019950219936282865,0.6034345422920427,0
hemofusion,ab_slim_reg_pos70,0,18,0.7005271100997925,0.45575125027014657,0.9359867330016585,0.00010729012012978475,0,24.64483642578125,0.7737707601566064,0.2568907708321747,0.01354294699137283,0.020580339000413294,0.5765520289148155,0
hemofusion,ab_slim_reg_pos70,0,19,0.7072806012630463,0.4579821292896647,0.9231619679380872,9.370987987021527e-05,0,24.65296506881714,0.7531574097903151,0.2562507874283351,0.005228325893097606,0.012618738660852327,0.5590098600246405,0
hemofusion,ab_slim_reg_pos70,0,20,0.7097939074039459,0.4596704249766563,0.9260364842454394,8.025612670126298e-05,0,24.724536180496216,0.7292490550561955,0.24949622056201884,0.009999158628105713,0.018829135780259475,0.5451134278586036,0
hemofusion,ab_slim_reg_pos70,0,21,0.714208676815033,0.462571284196699,0.9217247097844112,6.717947858898688e-05,0,24.70667004585266,0.7035985153756643,0.23786651446042875,0.008497701797655043,0.011528684606003625,0.5230105491845232,1
hemofusion,ab_slim_reg_pos70,0,22,0.7206329071521759,0.46328544478136957,0.9193753454947484,5.4723528745750374e-05,0,24.681720972061157,0.6736122985419474,0.2513782177120447,0.014448283374564963,0.014848227349207982,0.5134676420374921,0
hemofusion,ab_slim_reg_pos70,0,23,0.7218082189559937,0.4658826945395402,0.9166113875069097,4.312030794957069e-05,0,24.435558557510376,0.6464107865957838,0.24356523773779995,0.002656548847593704,0.011225126908883746,0.4885802296431441,0
hemofusion,ab_slim_reg_pos70,0,24,0.7218925070762634,0.46427273387924595,0.9158098396904366,3.258596224974391e-05,0,24.463649034500122,0.644152855206477,0.23663725581412254,0.0027844389258844834,0.010450878471601754,0.4843505828788406,0
hemofusion,ab_slim_reg_pos70,0,25,0.724875295162201,0.46180770773157176,0.9145660585959094,2.3316726574910207e-05,0,24.680542707443237,0.6284135007544568,0.23456347787654713,0.003802072130048672,0.009983594489504435,0.4743910571070094,0
hemofusion,ab_slim_reg_pos70,0,26,0.7287743723392487,0.4586136297146146,0.9116915422885572,1.548526924762437e-05,0,24.630542278289795,0.608671650682625,0.2264863586445388,0.011119508854455106,0.009438517291288773,0.4621330583958249,0
hemofusion,ab_slim_reg_pos70,0,27,0.7315184569358826,0.4560272517473498,0.9113875069098949,9.237475500207391e-06,0,24.464800357818604,0.6071593012464674,0.2257242347358873,0.0007916762022336785,0.008938593815209492,0.4566896810735527,0
hemofusion,ab_slim_reg_pos70,0,28,0.730520977973938,0.45667790646365386,0.9135986733001659,4.689729908893972e-06,0,24.474729776382446,0.6045956899853129,0.22264167416448655,0.0011275985751509371,0.00831091037635863,0.4539273212614812,0
hemofusion,ab_slim_reg_pos70,0,29,0.7308037972450256,0.4562497706994304,0.9139856274184633,1.9267483693850973e-06,0,24.671777725219727,0.6059757545590401,0.22369291248584264,0.0033626998477446156,0.008595559477965397,0.45612682539381477,0
hemofusion,ab_slim_reg_pos70,0,30,0.7308424282073974,0.45542664120849086,0.9162520729684909,1e-06,0,24.566110610961914,0.600625315583066,0.2257908407206598,0.0024337342538274243,0.0076422115548905965,0.4531934798548096,0
