model,tag,fold,epoch,val_loss,val_dice,val_auroc,lr,frozen,sec,train_seg,train_cls,train_multi,train_total,skipped_steps,train_deep_sup
unet,unet,0,1,1.4818479824066162,0.0135527712372045,0.8468767274737424,5.7499999999999934e-05,0,43.81525731086731,1.0891613128938171,0.6626290326055727,0.648848746167986,1.4839826822280884,0,
attention_unet,attention_unet,0,1,1.4906345415115356,0.0116897836413083,0.8366224433388612,5.7499999999999934e-05,0,40.82135987281799,1.089895366838104,0.6859307873405909,0.6549686703242754,1.495261425250455,0,
unetpp,unetpp,0,1,1.4371639823913571,0.0169372620919857,0.8177998894416804,5.7499999999999934e-05,0,129.45552825927734,1.0879138049326444,0.6175388429117831,0.6751187541767171,1.4699530970109136,0,
pvt_unet,pvt_unet,0,1,1.4033980989456176,0.0112600392872763,0.8289939192924267,5.7499999999999934e-05,1,35.58135008811951,1.0888864594070535,0.5952167632548433,0.6601494484041867,1.4590030665460385,0,
hemofusion,hemofusion,0,1,1.3481726026535035,0.05416561823501081,0.8169983416252073,5.7499999999999887e-05,1,60.92640781402588,1.0871766972960086,0.49451690258687003,0.5749573537655044,1.3963502540923,0,1.0781149192337405
hemofusion,hemofusion,0,2,1.2444432067871094,0.047372048579335,0.8948590381426202,0.00010499999999999986,1,45.028544425964355,1.067152839480785,0.31884279703361945,0.3411926832376865,1.232636281795669,0,0.9914222487754989
hemofusion,hemofusion,0,3,1.0876554012298585,0.4271092501563332,0.8920398009950248,0.00015249999999999986,1,44.48715114593506,0.9665366675247226,0.27015298851684,0.23197718088825545,1.1060444409387153,5,0.9291644457139467
hemofusion,hemofusion,0,4,1.0603251767158508,0.43861829025784377,0.9129076838032062,5.7499999999999887e-05,0,78.55211782455444,0.8294373214767691,0.22329356960069977,0.19960871240810343,0.9751965183960764,0,0.8707373024601686
hemofusion,hemofusion,0,5,1.0572200298309327,0.42605194916771577,0.9272526257600884,0.00010499999999999986,0,62.153576135635376,0.816925425539937,0.21585968707835204,0.19004243373740137,0.9530088569511447,0,0.8462530330084918
hemofusion,hemofusion,0,6,0.9267792963981628,0.4886425358265133,0.9234936428966279,0.00015249999999999986,0,62.807464361190796,0.8017828723317698,0.21424638546937913,0.1730956608723653,0.8869105164419141,0,0.7138077054630246
hemofusion,hemofusion,0,7,0.8476964020729065,0.4955969690756625,0.9292703150912106,0.0002,0,62.3163321018219,0.7647558387957121,0.18278210942037076,0.1517609564031948,0.797456200185575,0,0.5878440969084439
hemofusion,hemofusion,0,8,0.7385064291954041,0.538395519673375,0.9628524046434495,0.0001990732516306146,0,63.94340658187866,0.7451561556050652,0.19801484970089964,0.14087111249631434,0.7429705544521934,0,0.47124169374767105
hemofusion,hemofusion,0,9,0.646932989358902,0.5388049695457817,0.9711442786069652,0.00019631027009110583,0,61.589433670043945,0.703444071506199,0.13360375887918563,0.10752150656557397,0.6181866565817281,0,0.30293596803880574
hemofusion,hemofusion,0,10,0.6392677104473115,0.5185808849138913,0.9781094527363183,0.00019176252449979266,0,61.04807949066162,0.664114983458268,0.12207041765979834,0.10129448348296839,0.5755256579110497,0,0.26992395827383325
hemofusion,hemofusion,0,11,0.6508859670162201,0.5212176044820785,0.9743504698728579,0.00018551473075237591,0,61.32120394706726,0.6381751857044404,0.07832409642823653,0.07841625731650806,0.527221244024603,0,0.2432580649068481
hemofusion,hemofusion,0,12,0.6696708917617797,0.5270554321053885,0.9619402985074627,0.0001776832734250897,0,60.24758815765381,0.6102110186689779,0.09497364535835866,0.06815279695295255,0.51138423657731,0,0.23409396999826035
hemofusion,hemofusion,0,13,0.6699057245254516,0.5530681269117366,0.9662520729684909,0.00016841403775025597,0,59.68603444099426,0.5813261039162937,0.03963753109220354,0.050171336436872944,0.46170812570735026,0,0.21755792288795897
hemofusion,hemofusion,0,14,0.6783179295063019,0.5582621103353791,0.9700386954118297,0.00015787969205042924,0,60.060691356658936,0.5601732089069852,0.028246126895458457,0.04663218956301806,0.43492022627278376,0,0.19547849168118678
