model,tag,fold,epoch,val_loss,val_dice,val_auroc,lr,frozen,sec,train_seg,train_cls,train_multi,train_total,skipped_steps,train_deep_sup
hemofusion,hemofusion,0,15,0.6725319629907608,0.5607106433915771,0.9663349917081261,0.00014627647125424977,0,59.09519863128662,0.5480871065928224,0.04962597622905282,0.042488680286496355,0.43734296097567205,1,0.20035639071935102
hemofusion,hemofusion,0,16,0.6549638864398003,0.5544801377582174,0.9598673300165839,0.00013382052141101318,0,59.56262540817261,0.4995612564839815,0.03497839508156431,0.039108476328884104,0.3951119185801138,0,0.18390524328539246
hemofusion,hemofusion,0,17,0.6342824250459671,0.5423484119337368,0.9550304035378663,0.00012074387329873725,0,60.35479974746704,0.4687492729801881,0.01985193507553368,0.031377069270156585,0.3695868194887513,0,0.1853026316844319
hemofusion,hemofusion,0,18,0.6080757290124893,0.5294959646710378,0.9502763957987839,0.00010729012012978501,0,59.776715993881226,0.43480597645567176,0.04658803465338822,0.030712519609982048,0.354929202612032,0,0.17316971367159695
hemofusion,hemofusion,0,19,0.6036022093892097,0.522997718724146,0.9431730237700386,9.370987987021551e-05,0,61.31067109107971,0.44537942595126334,0.04721784028250815,0.026804232890227514,0.36082684562394496,0,0.1733779844321441
hemofusion,hemofusion,0,20,0.6171418246626854,0.5226308890422968,0.9337755666113875,8.02561267012632e-05,0,60.89147448539734,0.4293296913567342,0.01758880311746524,0.020525810631449547,0.3385118415350454,1,0.17443332442066126
hemofusion,hemofusion,0,21,0.6345274865627288,0.5240310555170928,0.9244610281923715,6.717947858898698e-05,0,60.76816201210022,0.4525595967445457,0.03639452982130471,0.0219895887977991,0.35589379640786273,0,0.16350573856024103
hemofusion,hemofusion,0,22,0.6470748719573021,0.5223885212435487,0.918629076838032,5.4723528745750475e-05,0,58.43196773529053,0.4220427959634547,0.019429853056129088,0.019223265524487942,0.328656630623236,0,0.15953586883679555
hemofusion,hemofusion,0,23,0.6611310067772865,0.5245451318685095,0.9210337202874517,4.312030794957086e-05,0,57.772377490997314,0.4195875952902593,0.01950003855959119,0.01882385738370654,0.331152941966266,0,0.1695889638136386
hemofusion,hemofusion,0,24,0.6574881359934807,0.5156164979859217,0.9191818684355998,3.2585962249744065e-05,0,60.29586958885193,0.39772875267162655,0.006178629388095783,0.014661088729330356,0.3053138482858214,0,0.15318229038006903
hemofusion,hemofusion,0,25,0.6619731470942497,0.5111163190367767,0.917551133222775,2.3316726574910302e-05,0,63.25667667388916,0.41555791962565036,0.015139470913908824,0.014407223068829217,0.3196476145663805,0,0.15343904801186892
hemofusion,hemofusion,0,26,0.6633164259791374,0.5061769091900068,0.9163626312880044,1.548526924762443e-05,0,61.26893138885498,0.40803777910115424,0.0070005984857345,0.01138294700649567,0.3105146842436832,0,0.15153794087829037
hemofusion,hemofusion,0,27,0.6619628739356994,0.5059386522311039,0.916473189607518,9.237475500207425e-06,0,61.936620473861694,0.411709327316075,0.041597050785033694,0.018732187158955065,0.3262090697361712,0,0.14699551113472695
hemofusion,hemofusion,0,28,0.6650949043035507,0.5031770997161007,0.9158927584300718,4.689729908893983e-06,0,61.6039936542511,0.4016518506564592,0.013574462719964032,0.014367522304957291,0.3079926053944387,0,0.1467454882028202
hemofusion,hemofusion,0,29,0.6603301188349724,0.5006930006922121,0.9148148148148147,1.926748369385104e-06,0,61.63485383987427,0.40973529298054545,0.013227461284618346,0.010743426454402589,0.3106198873566954,0,0.14334757621154973
hemofusion,hemofusion,0,30,0.6561753967404366,0.5000078721553963,0.9164455500276395,1e-06,0,61.22933006286621,0.3956621395129907,0.011496289583160353,0.012009081778192092,0.3041014036065654,0,0.1492594424553477
